round,accuracy,mean_loss,mean_split,sigma_mean,client0_split,client1_split,client2_split,client3_split,client4_split
1,47.01,1.8711481847127278,17.0,0.0,17.0,17.0,17.0,17.0,17.0
2,68.6,1.2402059284528097,17.0,0.0,17.0,17.0,17.0,17.0,17.0
3,71.03,0.9672759408315021,17.0,0.0,17.0,17.0,17.0,17.0,17.0
4,73.41,0.8767828311920166,17.0,0.0,17.0,17.0,17.0,17.0,17.0
5,76.02,0.7971670621554057,17.0,0.0,17.0,17.0,17.0,17.0,17.0
6,76.66,0.747283082930247,17.0,0.0,17.0,17.0,17.0,17.0,17.0
7,77.53,0.7112725054105123,17.0,0.0,17.0,17.0,17.0,17.0,17.0
8,80.3,0.6802356147766113,17.0,0.0,17.0,17.0,17.0,17.0,17.0
9,81.0,0.6484351446469625,17.0,0.0,17.0,17.0,17.0,17.0,17.0
10,81.49,0.6188061244646709,17.0,0.0,17.0,17.0,17.0,17.0,17.0
11,82.05,0.5905804630597432,17.0,0.0,17.0,17.0,17.0,17.0,17.0
12,83.08,0.573689609114329,17.0,0.0,17.0,17.0,17.0,17.0,17.0
13,84.0,0.5449296548684439,17.0,0.0,17.0,17.0,17.0,17.0,17.0
14,84.8,0.5312427398363748,17.0,0.0,17.0,17.0,17.0,17.0,17.0
15,85.49,0.5126349238395691,17.0,0.0,17.0,17.0,17.0,17.0,17.0
16,85.62,0.502034184996287,17.0,0.0,17.0,17.0,17.0,17.0,17.0
17,86.01,0.48476823830604554,17.0,0.0,17.0,17.0,17.0,17.0,17.0
18,86.28,0.47120310908953356,17.0,0.0,17.0,17.0,17.0,17.0,17.0
19,86.38,0.4587380676746369,17.0,0.0,17.0,17.0,17.0,17.0,17.0
20,86.82,0.45290135838190715,17.0,0.0,17.0,17.0,17.0,17.0,17.0
21,86.99,0.436193223285675,17.0,0.0,17.0,17.0,17.0,17.0,17.0
22,87.16,0.42600431098937985,17.0,0.0,17.0,17.0,17.0,17.0,17.0
23,87.19,0.42200141642888384,17.0,0.0,17.0,17.0,17.0,17.0,17.0
24,87.65,0.411040363407135,17.0,0.0,17.0,17.0,17.0,17.0,17.0
25,87.55,0.40827156747182214,17.0,0.0,17.0,17.0,17.0,17.0,17.0
